state,account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
36,35,415,0,0,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2
19,58,408,0,0,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0.0,0,0.0,4
13,82,510,0,1,34,232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,4.7,3,1.27,3
13,67,510,0,1,30,186.2,117,31.65,286.7,76,24.37,164.3,113,7.39,12.9,3,3.48,2
22,115,415,0,1,26,155.2,110,26.38,230.9,133,19.63,261.6,100,11.77,4.5,4,1.22,0
31,59,510,1,1,31,225.0,78,38.25,191.3,79,16.26,226.7,79,10.2,9.1,3,2.46,1
2,57,510,0,0,0,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,12.7,6,3.43,1
3,163,510,0,0,0,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4
43,87,415,0,0,0,169.1,105,28.75,169.9,102,14.44,244.9,106,11.02,9.9,10,2.67,3
45,123,408,0,0,0,154.3,107,26.23,183.0,111,15.56,54.0,134,2.43,10.9,8,2.94,0
37,135,415,0,0,0,194.8,97,33.12,235.3,118,20.0,174.4,126,7.85,11.0,3,2.97,1
5,103,415,0,1,37,153.5,78,26.1,241.9,108,20.56,244.7,110,11.01,10.6,3,2.86,1
29,80,415,0,0,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2
37,87,510,0,1,22,240.8,102,40.94,75.9,106,6.45,224.6,115,10.11,7.1,3,1.92,2
2,36,415,0,0,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0
48,78,408,0,0,0,87.0,102,14.79,193.6,64,16.46,205.8,120,9.26,11.0,5,2.97,0
47,86,510,0,0,0,150.5,92,25.59,120.3,95,10.23,271.2,96,12.2,9.0,2,2.43,1
1,91,510,0,1,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3
29,77,415,0,0,0,169.4,102,28.8,184.9,144,15.72,234.3,89,10.54,2.0,7,0.54,1
40,64,510,0,1,40,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8
47,55,408,0,0,0,285.7,124,48.57,230.9,106,19.63,230.7,140,10.38,14.8,7,4.0,0
30,125,415,1,0,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,0
9,100,510,0,0,0,107.0,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4
7,60,408,0,0,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1
36,49,415,0,0,0,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21,0
39,76,415,0,0,0,171.1,78,29.09,257.2,83,21.86,91.6,92,4.12,16.2,3,4.37,1
31,127,510,0,0,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1
10,101,415,0,1,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0
34,131,408,1,0,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3
40,112,415,0,1,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4
34,163,408,0,0,0,247.7,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0
5,101,408,0,1,23,262.2,101,44.57,157.0,80,13.35,129.1,100,5.81,7.3,14,1.97,1
33,89,415,0,0,0,134.9,59,22.93,156.0,152,13.26,197.5,112,8.89,10.2,5,2.75,1
10,76,408,0,0,0,203.6,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0
26,109,510,0,0,0,154.8,82,26.32,287.7,109,24.45,208.4,80,9.38,5.9,9,1.59,3
11,97,415,0,1,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3
27,124,415,0,0,0,188.5,77,32.05,182.0,123,15.47,218.2,127,9.82,6.1,6,1.65,1
41,85,408,0,0,0,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0
1,182,415,0,1,24,128.1,104,21.78,143.4,127,12.19,191.0,98,8.59,11.6,3,3.13,1
8,110,510,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1
1,90,415,0,0,0,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2
6,124,415,0,0,0,131.8,82,22.41,284.3,119,24.17,305.5,101,13.75,11.3,2,3.05,1
27,210,415,0,1,31,313.8,87,53.35,147.7,103,12.55,192.7,97,8.67,10.1,7,2.73,3
41,168,415,0,1,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2
27,106,415,0,1,37,223.5,104,38.0,235.1,99,19.98,140.1,90,6.3,10.6,5,2.86,2
31,72,415,0,0,0,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1
29,56,510,0,0,0,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,1
11,118,415,0,0,0,133.4,113,22.68,121.0,92,10.29,254.7,129,11.46,5.9,4,1.59,1
1,95,408,0,0,0,190.2,119,32.33,157.1,70,13.35,181.5,120,8.17,14.0,6,3.78,0
16,126,408,0,0,0,321.3,99,54.62,167.9,93,14.27,193.6,106,8.71,8.0,4,2.16,1
45,153,510,0,0,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1
14,21,415,0,0,0,146.0,78,24.82,109.7,79,9.32,247.4,108,11.13,6.8,7,1.84,0
21,102,510,0,0,0,195.7,116,33.27,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24,1
39,176,415,0,0,0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2
13,92,415,0,1,31,172.3,116,29.29,266.2,91,22.63,228.2,90,10.27,11.8,5,3.19,1
29,124,510,0,0,0,191.3,134,32.52,261.5,113,22.23,182.3,111,8.2,10.0,3,2.7,1
40,114,510,0,1,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3
1,144,415,0,0,0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2
14,44,415,0,1,34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14.0,7,3.78,0
